targeted_yesno,nottargeted_yesno,targeted_10pt,nottargeted_10pt
2,2,5,10
2,1,3,7
1,2,7,3
1,1,8,3
2,2,0,0
1,2,10,3
2,1,1,8
1,2,2,6
1,2,10,0
1,2,7,1
1,2,5,4
1,2,8,1
1,2,8,4
1,2,8,2
1,2,8,2
1,2,6,8
1,1,10,7
1,2,10,2
2,1,0,7
2,1,2,10
1,2,8,4
1,2,10,0
1,2,10,0
1,1,8,6
1,2,10,1
1,2,6,2
1,1,8,7
1,2,8,2
1,1,7,5
1,1,6,7
1,1,10,10
1,2,7,1
1,2,10,4
1,2,10,1
1,1,10,4
1,2,7,5
1,1,6,4
1,1,4,2
2,2,2,1
2,1,4,7
1,2,7,0
1,2,7,3
1,1,10,6
1,1,8,8
1,2,7,6
1,2,5,7
1,1,10,1
2,2,0,4
1,1,10,2
1,2,10,5
1,2,10,2
2,2,0,0
1,2,10,0
1,2,10,2
1,2,7,3
1,2,8,0
2,2,1,3
1,2,8,1
1,2,6,3
1,2,10,6
2,1,0,7
1,2,10,0
1,1,10,4
1,2,10,1
1,1,8,5
2,2,3,1
1,2,7,4
2,1,3,7
1,2,8,2
1,2,10,1
2,2,0,0
1,1,8,7
1,2,10,0
2,2,0,4
1,1,7,7
